Country,Exports_2014,Exports_2015,Exports_2016,Exports_2017,Exports_2018,Exports_2019,Exports_2020,Exports_2021,Exports_2022,Imports_2014,Imports_2015,Imports_2016,Imports_2017,Imports_2018,Imports_2019,Imports_2020,Imports_2021,Imports_2022,Mapped_Country,Trade_balance_2014,Trade_balance_2015,Trade_balance_2016,Trade_balance_2017,Trade_balance_2018,Trade_balance_2019,Trade_balance_2020,Trade_balance_2021,Trade_balance_2022,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021,GDP_2022,Inflation_2014,Inflation_2015,Inflation_2016,Inflation_2017,Inflation_2018,Inflation_2019,Inflation_2020,Inflation_2021,Inflation_2022
India,293233.544055,226257.676511,210189.410153,252435.495568,303901.788412,279941.294306,217290.917302,332878.934322,416919.392429,147732.405495,130530.565937,124604.895078,146834.640206,165758.987078,169008.337305,145352.50781439999,200973.791965,228202.366596,India,145501.13856,95727.11057399999,85584.515075,105600.855362,138142.801334,110932.957001,71938.4094876,131905.142357,188717.025833,2039126469963.35,2103588347241.77,2294796889945.04,2651474263257.15,2702929639861.5,2835606242052.48,2671595389575.7,3150306834279.65,3385089881935.39,6.665656718679,4.90697344127254,4.94821634062142,3.32817337461301,3.93882646691634,3.72950573539126,6.62343677628532,5.13140747176369,6.6990341407985
Indonesia,88948.937218,70527.042987,67606.349295,74966.034853,90537.922674,89650.53879,78226.581854,113180.831592,137110.316677,88076.950124,78487.258771,76783.730667,96928.38717,105744.114195,106586.480296,100940.578842,154326.34816,199321.573821,Indonesia,871.987094000011,-7960.215784,-9177.381371999989,-21962.352316999997,-15206.191521,-16935.94150599999,-22713.996988,-41145.51656799999,-62211.257144,890814755511.291,860854232717.853,931877364033.902,1015618744168.15,1042271532953.36,1119099871386.16,1059054842711.72,1186505455720.81,1319100220389.02,6.39492540819922,6.36312113115614,3.5258051568793,3.80879806953163,3.19834641562404,3.03058664969491,1.92096800566845,1.56012990525685,4.2094638340216
Kiribati,78.101844,89.719954,73.895815,60.908139,50.044048,47.708565,70.082663,53.046716,55.25514,60.694703,108.433096,130.627799,159.976428,131.298873,110.640877,208.4832645,98.150736,194.293883,Kiribati,17.407141000000003,-18.713142000000005,-56.73198400000001,-99.068289,-81.25482499999998,-62.932312,-138.4006015,-45.10401999999999,-139.038743,177868153.090733,170292283.246013,178507958.050329,188540699.145686,196501504.185186,175181684.792212,177553260.108828,227610034.764306,223352943.188404,2.10398520925043,0.572015743634274,1.91731090233375,0.355520888546853,0.564030491493466,-1.81307995302948,0.0,0.0,0.0
Lao People's Dem. Rep.,6463.327001,6083.421136,5535.198678,5959.360071,6396.148843,6445.185827,5488.558661,6288.314049,7834.258822,4118.728732,3525.031665,3832.407686,4456.258635,5280.83641,5385.848918,5797.7728804,7072.280083,8389.436841,Lao PDR,2344.598269,2558.389471,1702.7909919999997,1503.101436,1115.312433,1059.3369090000006,-309.2142193999998,-783.966034,-555.1780190000009,13279248478.8161,14426381187.0894,15912495368.8717,17071162084.4067,18141651381.3884,18740559554.1632,18981800705.0794,18827148530.0151,15724383783.2385,4.12924306873775,1.27735427102986,1.59691227583204,0.82547860756813,2.04039266890198,3.32255881256934,5.10407262959903,3.75562036658905,22.9562225132054
Malaysia,99015.282032,86106.833228,73963.814712,90254.853999,96442.031234,104077.905047,103685.557982,137306.320555,169661.015067,131863.691106,121600.465737,114473.125868,126296.581224,143265.789721,152252.047643,145181.2116545,190250.763071,222101.17019,Malaysia,-32848.40907400001,-35493.632509,-40509.311155999996,-36041.727224999995,-46823.758487000014,-48174.142596000005,-41495.65367249999,-52944.44251599998,-52440.155123000004,338066121289.413,301354783698.72,301255332137.075,319109103242.055,358788833524.945,365177744321.011,337339463179.961,372981073017.749,406305924656.071,3.14299050879107,2.10438980238344,2.09056659525745,3.8712011577424,0.884709160571244,0.662891865764376,-1.13870215393056,2.47710241465444,3.37869862549938
Maldives,1153.706879,1022.755842,1309.042486,1417.778729,1705.738752,1588.074679,1055.152479,1956.488636,2365.76757,63.910826,81.969585,146.928016,278.63131,392.712059,134.784992,120.3841076,1125.016136,668.213676,Maldives,1089.796053,940.786257,1162.11447,1139.1474190000001,1313.026693,1453.289687,934.7683714000001,831.4725000000001,1697.5538940000001,3697353155.04883,4109416450.22514,4379134272.943,4754185598.8417,5300949822.99805,5609385433.592,3746329358.28788,5405557161.73799,6189865408.23158,2.12000175718133,0.953206658777659,0.502509413611577,2.81747338234513,-0.133373386117587,0.220029731065364,-1.3697742556981,0.54314968873696,2.33314337624571
"Marshall Islands, Rep. of the",375.435005,477.15076,2100.515084,3693.075517,2725.557081,2845.758051,3748.86266,3765.4435,4305.352159,269.135155,274.518159,82.002028,150.301503,189.099838,474.484166,218.617919,219.816595,155.758277,Marshall Islands,106.29984999999999,202.63260099999997,2018.5130560000002,3542.774014,2536.457243,2371.2738849999996,3530.244741,3545.626905,4149.593882,185172900.0,182997300.0,200716000.0,212701200.0,219330300.0,232092300.0,241722400.0,259538700.0,279667900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Micronesia, Federated States of",72.897523,71.913627,332.026436,350.885546,591.720018,196.328385,206.441667,192.430972,221.765638,18.37099,15.949303,42.953279,103.497802,157.221818,211.799759,207.071293,225.069818,238.161628,"Micronesia, Fed. Sts.",54.52653300000001,55.964324000000005,289.073157,247.387744,434.4982,-15.471373999999997,-0.6296260000000018,-32.638846,-16.395990000000012,319271200.0,316489900.0,332265200.0,366666800.0,401932300.0,412000000.0,408000000.0,404028900.0,427094119.111317,0.650284891768603,-0.298115837381107,-1.03746806405332,0.582253735254645,1.49840023593733,1.92385170787926,0.554594630853204,3.19128406597464,5.40874375479069
Mongolia,3985.456015,2942.373403,2164.202856,2962.982571,3581.096748,3893.688332,3269.933835,4468.783262,4917.198168,5147.066998,3844.188733,3639.133278,5169.094166,6436.297001,6384.458264,5143.905241,6972.093672,9463.314242,Mongolia,-1161.610983,-901.8153299999999,-1474.930422,-2206.111595,-2855.200253,-2490.7699319999997,-1873.9714060000006,-2503.31041,-4546.1160740000005,12226514666.0404,11619892592.6599,11181350649.2247,11480847740.0839,13178094719.8612,14206359016.4014,13312981427.4023,15286441740.129,16810883360.913,12.253980812976,5.73568281938328,0.733272227314381,4.30143105302342,6.82424790145521,7.30106953550724,3.79604026111249,7.35281243380224,15.1479560897225
Myanmar,16605.638219,16727.037023,16501.80072,18900.194141,23053.231064,23065.614382,22075.336891,20968.123249,28187.066551,21745.529614,10551.594616,8472.749192,8986.204716,9634.430265,12004.953083,11550.284693799998,13835.157186,18799.111668,Myanmar,-5139.891394999999,6175.4424070000005,8029.051528,9913.989425,13418.800798999999,11060.661299,10525.0521972,7132.966063,9387.954882999999,63264892768.3726,63045306513.9317,60291738934.7768,61449391917.1276,67144726167.9294,68697761477.1809,78930259068.5275,65124769601.7482,59364362540.5524,4.95329918484382,9.45417189525996,6.92882525816124,4.57253655317505,6.87232865662918,8.82506696804562,0.0,0.0,0.0
